IS42S32200L-6TLI,,,,,
,,,,,
Pin,Unit,Type,Name,Style,Side
25,1,input,A0,,left
26,1,input,A1,,left
27,1,input,A2,,left
60,1,input,A3,,left
61,1,input,A4,,left
62,1,input,A5,,left
63,1,input,A6,,left
64,1,input,A7,,left
65,1,input,A8,,left
66,1,input,A9,,left
24,1,input,A10,,left
*,1,,,,left
22,1,input,BA0,,left
23,1,input,BA1,,left
18,1,input,~{CAS},inv,left
67,1,input,CKE,,left
68,1,input,CLK,clk,left
20,1,input,~{CS},inv,left
2,1,bidir,DQ0,,right
4,1,bidir,DQ1,,right
5,1,bidir,DQ2,,right
7,1,bidir,DQ3,,right
8,1,bidir,DQ4,,right
10,1,bidir,DQ5,,right
11,1,bidir,DQ6,,right
13,1,bidir,DQ7,,right
74,1,bidir,DQ8,,right
76,1,bidir,DQ9,,right
77,1,bidir,DQ10,,right
79,1,bidir,DQ11,,right
80,1,bidir,DQ12,,right
82,1,bidir,DQ13,,right
83,1,bidir,DQ14,,right
85,1,bidir,DQ15,,right
45,1,bidir,DQ16,,right
47,1,bidir,DQ17,,right
48,1,bidir,DQ18,,right
50,1,bidir,DQ19,,right
51,1,bidir,DQ20,,right
53,1,bidir,DQ21,,right
54,1,bidir,DQ22,,right
56,1,bidir,DQ23,,right
31,1,bidir,DQ24,,right
33,1,bidir,DQ25,,right
34,1,bidir,DQ26,,right
36,1,bidir,DQ27,,right
37,1,bidir,DQ28,,right
39,1,bidir,DQ29,,right
40,1,bidir,DQ30,,right
42,1,bidir,DQ31,,right
19,1,input,~{RAS},inv,left
17,1,input,WE,,left
3,1,pwr,VDDQ,,top
9,1,pwr,VDDQ,,top
35,1,pwr,VDDQ,,top
41,1,pwr,VDDQ,,top
49,1,pwr,VDDQ,,top
55,1,pwr,VDDQ,,top
75,1,pwr,VDDQ,,top
81,1,pwr,VDDQ,,top
1,1,pwr,VDD,,top
15,1,pwr,VDD,,top
29,1,pwr,VDD,,top
43,1,pwr,VDD,,top
6,1,gnd,GNDQ,,bottom
12,1,gnd,GNDQ,,bottom
32,1,gnd,GNDQ,,bottom
38,1,gnd,GNDQ,,bottom
46,1,gnd,GNDQ,,bottom
52,1,gnd,GNDQ,,bottom
78,1,gnd,GNDQ,,bottom
84,1,gnd,GNDQ,,bottom
44,1,gnd,GND,,bottom
58,1,gnd,GND,,bottom
72,1,gnd,GND,,bottom
86,1,gnd,GND,,bottom
